Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
4,Jungle,16,Unpred,late,right,Short,snowwhite late t,2.564615094,0.860361806,3.688776935,6.253392029,6.745678317,0.492286288,2564.615094,860.3618061,3688.776935,6253.392029,6745.678317,492.2862875,y,1,NA
4,Jungle,17,Unpred,late,wrong,Short,swiper late t,2.423955387,0.675372202,3.761509972,6.185465359,6.885554318,0.700088959,2423.955387,675.372202,3761.509972,6185.465359,6885.554318,700.0889588,n,1,NA
4,Jungle,18,Unpred,early,right,Long,cinderella early p,2.614068887,0.767016368,3.744150751,6.358219637,7.474703794,1.116484156,2614.068887,767.0163678,3744.150751,6358.219637,7474.703794,1116.484156,y,1,NA
4,Jungle,19,Unpred,early,right,Long,princessholly early t,2.640921003,0.625918183,3.694166807,6.33508781,6.984805958,0.649718148,2640.921003,625.9181826,3694.166807,6335.08781,6984.805958,649.7181479,y,1,NA
4,Jungle,20,Unpred,early,wrong,Short,anna early t,2.429431423,0.704048327,3.907896762,6.337328185,7.185174116,0.847845931,2429.431423,704.0483268,3907.896762,6337.328185,7185.174116,847.8459308,n,1,NA
4,Jungle,21,Unpred,late,wrong,Short,laalaa late p,2.500201971,0.669670039,3.705954862,6.206156834,7.817708135,1.611551301,2500.201971,669.6700386,3705.954862,6206.156834,7817.708135,1611.551301,n,1,NA
4,Jungle,22,Unpred,early,right,Short,woody early t,2.328932623,0.670020679,3.660130808,5.98906343,6.915077492,0.926014061,2328.932623,670.0206786,3660.130808,5989.06343,6915.077492,926.0140611,y,1,NA
4,Jungle,23,Unpred,early,right,Short,laalaa early t,2.662067496,0.637114286,3.705134081,6.367201577,8.476637644,2.109436066,2662.067496,637.1142864,3705.134081,6367.201577,8476.637644,2109.436066,y,1,NA
4,Jungle,24,Unpred,early,wrong,Short,noddy early t,2.363323424,0.686884137,3.722896781,6.086220205,6.833176361,0.746956156,2363.323424,686.8841374,3722.896781,6086.220205,6833.176361,746.9561564,n,1,NA
5,Beach,1,Pred,early,right,Short,chase_early_t,2.35973171,0.738282886,3.795090851,6.154822561,6.888720155,0.733897594,2359.73171,738.282886,3795.090851,6154.822561,6888.720155,733.8975944,y,1,NA
5,Beach,2,Pred,early,right,Long,daddypig_early_t,2.602410735,0.698486347,3.726460403,6.328871138,6.871477712,0.542606575,2602.410735,698.4863472,3726.460403,6328.871138,6871.477712,542.6065747,y,1,NA
