Subject,Level,TrialNo,Pred,Early.Late,Right.Wrong,Length,SoundFile,QuLength,CharacterLength,QuOnset,QuOffset,Response Onset,RT.s,QuLength.ms,CharacterLength.ms,QuOnset.ms,QuOffset.ms,ResponseOnset.ms,RT.ms,Response,Accuracy,Comments
42,Beach,17,Unpred,early,wrong,Long,firemansam_early_p,3.078328358,0.792289834,3.73299969,6.811328048,8.440229647,1.628901599,3078.328358,792.2898343,3732.99969,6811.328048,8440.229647,1628.901599,n,1,
42,Beach,18,Unpred,late,wrong,Short,belle_late_p,2.111682671,0.412969374,3.742536334,5.854219005,7.475264642,1.621045637,2111.682671,412.9693737,3742.536334,5854.219005,7475.264642,1621.045637,n,1,
42,Beach,19,Unpred,late,right,Long,firemansam_late_t,2.959190693,0.868586916,3.747763205,6.706953898,6.756287754,0.049333856,2959.190693,868.5869156,3747.763205,6706.953898,6756.287754,49.33385585,y,1,
42,Beach,20,Unpred,early,right,Long,mummypig_early_p,2.837789413,0.797980276,3.705808581,6.543597993,7.08142026,0.537822267,2837.789413,797.9802763,3705.808581,6543.597993,7081.42026,537.8222666,y,1,
42,Beach,21,Unpred,late,right,Short,skye_late_t,2.39592187,0.56971903,3.744021417,6.139943287,7.135672564,0.995729278,2395.92187,569.71903,3744.021417,6139.943287,7135.672564,995.7292778,y,1,
42,Beach,22,Unpred,early,wrong,Short,po_early_t,2.423004532,0.675116934,3.685887356,6.108891888,8.277595224,2.168703336,2423.004532,675.1169339,3685.887356,6108.891888,8277.595224,2168.703336,n,1,
42,Beach,23,Unpred,early,wrong,Short,skye_early_p,2.810606874,0.867887352,3.712578976,6.52318585,7.515933572,0.992747722,2810.606874,867.8873519,3712.578976,6523.18585,7515.933572,992.7477218,n,1,
42,Beach,24,Unpred,late,wrong,Short,jake_late_p,2.481745229,0.575741449,3.694844187,6.176589416,6.877668658,0.701079242,2481.745229,575.7414486,3694.844187,6176.589416,6877.668658,701.0792423,n,1,
43,Beach,1,Pred,early,right,Short,chase_early_p,2.341856148,0.86778333,3.723142924,6.064999072,6.351808284,0.286809212,2341.856148,867.78333,3723.142924,6064.999072,6351.808284,286.8092117,y,1,
43,Beach,2,Pred,early,right,Long,daddypig_early_p,2.691773095,0.782398489,3.694780928,6.386554023,6.413704077,0.027150054,2691.773095,782.3984886,3694.780928,6386.554023,6413.704077,27.15005353,y,1,
