Participant,Condition,Pred,Match,Length Type,Start Time,Onset of 1st syllable in character name ,Time to say character name ,Time to respond,Start time - time to respond,Onset of 1st syllable - time to respond,Onset of 1st syllable - time to say character name - response time,Start Time ms,Onset of 1st syllable in character name ms,Response Time,Time to Say Character Name,Start time - time to respond ms,Onset of 1st syllable - time to respond ms,RTms,Response?,Disfluent?,Incorrect?
2,1,Pred,Match,Short,1.4927,5.4514,0.707,6.9075,5.4148,1.4561,0.7491,1492.7,5451.4,6907.5,707,5414.8,1456.1,749.1,y,,
2,1,Pred,Match,Long,1.4816,5.3701,1.768,7.7072,6.2256,2.3371,0.5691,1481.6,5370.1,7707.2,1768,6225.6,2337.1,569.1,y,,
2,1,Pred,Match,Long,1.4762,5.4231,1.153,7.1559,5.6797,1.7328,0.5798,1476.2,5423.1,7155.9,1153,5679.7,1732.8,579.8,y,,
2,1,Pred,Match,Short,1.6387,5.2444,0.647,6.1379,4.4992,0.8935,0.2465,1638.7,5244.4,6137.9,647,4499.2,893.5,246.5,y,,
2,1,Pred,Match,Long,1.6934,5.4175,1.329,7.8997,6.2063,2.4822,1.1532,1693.4,5417.5,7899.7,1329,6206.3,2482.2,1153.2,y,,
2,1,Pred,Match,Long,1.482,5.3199,0.863,6.9341,5.4521,1.6142,0.7512,1482,5319.9,6934.1,863,5452.1,1614.2,751.2,y,,
2,1,Pred,Match,Long,1.4998,5.4275,0.788,7.4207,5.9209,1.9932,1.2052,1499.8,5427.5,7420.7,788,5920.9,1993.2,1205.2,y,,
2,1,Pred,Match,Short,1.6589,5.1914,0.539,7.1012,5.4423,1.9098,1.3708,1658.9,5191.4,7101.2,539,5442.3,1909.8,1370.8,y,,
2,1,Pred,Match,Long,1.4639,5.4909,0.959,6.877,5.4131,1.3861,0.4271,1463.9,5490.9,6877,959,5413.1,1386.1,427.1,y,,
2,1,Pred,Match,Short,1.4761,5.2201,0.399,6.9735,5.4974,1.7534,1.3544,1476.1,5220.1,6973.5,399,5497.4,1753.4,1354.4,y,,
2,1,Pred,Match,Short,1.4797,5.6027,0.715,6.3667,4.887,0.764,0.049,1479.7,5602.7,6366.7,715,4887,764,49,n,,
2,2,Unpred,Match,Long,1.6928,5.3711,0.804,8.1958,6.503,2.8247,2.0207,1692.8,5371.1,8195.8,804,6503,2824.7,2020.7,n,,
2,2,Unpred,Match,Short,1.6694,5.2126,0.651,8.8201,7.1507,3.6075,2.9565,1669.4,5212.6,8820.1,651,7150.7,3607.5,2956.5,n,,
2,2,Unpred,Match,Short,1.4911,5.4487,0.725,7.0345,5.5434,1.5858,0.8608,1491.1,5448.7,7034.5,725,5543.4,1585.8,860.8,n,,
2,2,Unpred,Match,Short,1.4892,5.1888,0.445,6.5098,5.0206,1.321,0.876,1489.2,5188.8,6509.8,445,5020.6,1321,876,n,,
2,2,Unpred,Match,Long,1.4983,5.3024,0.923,6.6882,5.1899,1.3858,0.4628,1498.3,5302.4,6688.2,923,5189.9,1385.8,462.8,n,,
2,2,Unpred,Match,Long,1.4771,5.5686,1.273,7.0163,5.5392,1.4477,0.1747,1477.1,5568.6,7016.3,1273,5539.2,1447.7,174.7,n,,
2,2,Unpred,Match,Long,1.5215,5.4306,0.86,6.6833,5.1618,1.2527,0.3927,1521.5,5430.6,6683.3,860,5161.8,1252.7,392.7,n,,
2,2,Unpred,Match,Long,1.4948,5.1781,0.98,6.9019,5.4071,1.7238,0.7438,1494.8,5178.1,6901.9,980,5407.1,1723.8,743.8,n,,
2,2,Unpred,Match,Long,1.6476,5.3634,1.302,7.8605,6.2129,2.4971,1.1951,1647.6,5363.4,7860.5,1302,6212.9,2497.1,1195.1,n,,
2,2,Unpred,Match,Short,1.459,5.2468,0.553,6.1967,4.7377,0.9499,0.3969,1459,5246.8,6196.7,553,4737.7,949.9,396.9,n,,
2,2,Unpred,Match,Short,1.4757,5.4484,0.531,7.3257,5.85,1.8773,1.3463,1475.7,5448.4,7325.7,531,5850,1877.3,1346.3,n,,
2,2,Unpred,Match,Short,1.4739,5.336,0.595,6.3787,4.9048,1.0427,0.4477,1473.9,5336,6378.7,595,4904.8,1042.7,447.7,n,,
2,2,Unpred,Match,Long,1.4511,5.4013,1.177,6.7933,5.3422,1.392,0.215,1451.1,5401.3,6793.3,1177,5342.2,1392,215,n,,
2,2,Unpred,Match,Short,1.5019,5.2852,0.551,6.1135,4.6116,0.8283,0.2773,1501.9,5285.2,6113.5,551,4611.6,828.3,277.3,n,,
2,2,Unpred,Match,Long,1.6699,5.367,1.108,6.7576,5.0877,1.3906,0.2826,1669.9,5367,6757.6,1108,5087.7,1390.6,282.6,n,,
2,2,Unpred,Match,Long,1.5055,5.7066,1.229,7.1432,5.6377,1.4366,0.2076,1505.5,5706.6,7143.2,1229,5637.7,1436.6,207.6,n,,
2,2,Unpred,Match,Short,1.4932,5.3624,0.558,6.2561,4.7629,0.8937,0.3357,1493.2,5362.4,6256.1,558,4762.9,893.7,335.7,n,,
2,2,Unpred,Match,Short,1.4388,5.0729,0.572,7.0126,5.5738,1.9397,1.3677,1438.8,5072.9,7012.6,572,5573.8,1939.7,1367.7,n,,
2,2,Unpred,Match,Short,1.6982,5.5702,0.739,6.232,4.5338,0.6618,-0.0772,1698.2,5570.2,6232,739,4533.8,661.8,-77.2,n,,
2,2,Unpred,Match,Short,1.4966,5.6047,0.469,7.0366,5.54,1.4319,0.9629,1496.6,5604.7,7036.6,469,5540,1431.9,962.9,n,,
2,2,Unpred,Match,Long,1.7046,5.4105,0.861,6.787,5.0824,1.3765,0.5155,1704.6,5410.5,6787,861,5082.4,1376.5,515.5,n,,
2,2,Unpred,Match,Long,1.6729,5.3946,0.922,7.9266,6.2537,2.532,1.61,1672.9,5394.6,7926.6,922,6253.7,2532,1610,n,,
2,2,Unpred,Match,Long,1.4793,5.3733,0.931,6.5769,5.0976,1.2036,0.2726,1479.3,5373.3,6576.9,931,5097.6,1203.6,272.6,n,,
2,2,Unpred,Match,Short,1.4961,5.5843,0.59,6.2902,4.7941,0.7059,0.1159,1496.1,5584.3,6290.2,590,4794.1,705.9,115.9,n,,
2,3,Pred,Mismatch,Short,1.4825,5.1942,0.445,6.4787,4.9962,1.2845,0.8395,1482.5,5194.2,6478.7,445,4996.2,1284.5,839.5,y,,
2,3,Pred,Mismatch,Short,1.4865,5.546,0.399,7.9983,6.5118,2.4523,2.0533,1486.5,5546,7998.3,399,6511.8,2452.3,2053.3,y,,
2,3,Pred,Mismatch,Short,1.4717,5.7716,0.742,7.5008,6.0291,1.7292,0.9872,1471.7,5771.6,7500.8,742,6029.1,1729.2,987.2,y,,
2,3,Pred,Mismatch,Short,1.6675,5.3264,0.555,6.4522,4.7847,1.1258,0.5708,1667.5,5326.4,6452.2,555,4784.7,1125.8,570.8,y,,
2,3,Pred,Mismatch,Short,1.4735,5.4275,0.725,6.872,5.3985,1.4445,0.7195,1473.5,5427.5,6872,725,5398.5,1444.5,719.5,y,,
2,3,Pred,Mismatch,Short,1.5037,5.2407,0.651,6.502,4.9983,1.2613,0.6103,1503.7,5240.7,6502,651,4998.3,1261.3,610.3,y,,
2,3,Pred,Mismatch,Short,1.657,5.4427,0.775,7.8656,6.2086,2.4229,1.6479,1657,5442.7,7865.6,775,6208.6,2422.9,1647.9,y,,
2,3,Pred,Mismatch,Short,1.4802,5.4441,1.009,7.1857,5.7055,1.7416,0.7326,1480.2,5444.1,7185.7,1009,5705.5,1741.6,732.6,y,,
2,3,Pred,Mismatch,Short,1.4618,5.4368,0.681,7.1867,5.7249,1.7499,1.0689,1461.8,5436.8,7186.7,681,5724.9,1749.9,1068.9,y,,
2,3,Pred,Mismatch,Short,1.463,5.4478,0.531,7.3737,5.9107,1.9259,1.3949,1463,5447.8,7373.7,531,5910.7,1925.9,1394.9,y,,
2,3,Pred,Mismatch,Short,1.4808,5.292,0.553,6.2277,4.7469,0.9357,0.3827,1480.8,5292,6227.7,553,4746.9,935.7,382.7,y,,
